 t Vext Jext errJ Jint  G_frac QLFSL1 QLFSL2 QLFSL3 JphotoL1 JphotoL2 JphotoL3 JdirL1 JdirL2 JdirL3 JbulkElecL1 JbulkElecL2 JbulkElecL3 JbulkHolesL1 JbulkHolesL2 JbulkHolesL3 JintElecL1L2 JintElecL2L3 JintHolesL1L2 JintHolesL2L3 JminLeft JminRight JShunt Jnion Jpion JD
 7.78200000000000000036E-0006  0.00000000000000000000E+0000  5.91601015049352346358E-0007  9.04710363131732774745E-0008  5.91601015049352346358E-0007  1.04999999999999999996E+0000  1.39365436956017389725E+0000  1.46608312411913194444E+0000  1.31069641213858243789E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137237593313205444E-0040  4.59602003662383929251E-0003  1.26275372936076108229E-0034  0.00000000000000000000E+0000  2.32022245214967440932E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245776565333608E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.16748984530125556132E-0010 -2.17519529848664806121E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.63706249576909723644E-0007
 7.93800000000000000015E-0006  0.00000000000000000000E+0000  6.37518670485742072659E-0007  7.90980961889424715292E-0008  6.37518670485742072659E-0007  1.04999999999999999996E+0000  1.39365436956122477603E+0000  1.46608312416235000931E+0000  1.31069641195381981938E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137238192062897569E-0040  4.59602004942273394570E-0003  1.26275372142971100077E-0034  0.00000000000000000000E+0000  2.32022245253166869039E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245904468676247E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.97495634306730565254E-0010 -2.17519519730852650121E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.53072279721206337190E-0007
 8.09599999999999999965E-0006  0.00000000000000000000E+0000  6.41196692627299728614E-0007  6.94401700560888788091E-0008  6.41196692627299728614E-0007  1.04999999999999999996E+0000  1.39365436954062886748E+0000  1.46608312419493101698E+0000  1.31069641176973244643E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137238486365118781E-0040  4.59602006012820570173E-0003  1.26275371374752026182E-0034  0.00000000000000000000E+0000  2.32022245284540197890E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245986349865035E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -3.38709758092571478183E-0010 -2.17519514892398572060E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.33294717594313943472E-0007
 8.25800000000000000023E-0006  0.00000000000000000000E+0000  6.03540636702313964259E-0007  6.25153424497064246666E-0008  6.03540636702313964259E-0007  1.04999999999999999996E+0000  1.39365436950327092815E+0000  1.46608312421801348260E+0000  1.31069641161401430026E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137238474991300296E-0040  4.59602006801772539554E-0003  1.26275370768757694085E-0034  0.00000000000000000000E+0000  2.32022245308262817495E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022246018769461251E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -3.42542201270197880899E-0010 -2.17519515129279596036E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.04622505010041974408E-0007
 8.42400000000000000023E-0006  0.00000000000000000000E+0000  5.27322117061045006734E-0007  5.87588581308521290132E-0008  5.27322117061045006734E-0007  1.04999999999999999996E+0000  1.39365436945556142308E+0000  1.46608312423312103160E+0000  1.31069641151067013967E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137238180121847876E-0040  4.59602007252084123908E-0003  1.26275370433776931945E-0034  0.00000000000000000000E+0000  2.32022245323788056950E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245998286888863E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -3.10718481890302019610E-0010 -2.17519520272198936973E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -1.68765250568082451327E-0007
 8.59199999999999999994E-0006  0.00000000000000000000E+0000  4.20459468387147602957E-0007  5.65791052756820157999E-0008  4.20459468387147602957E-0007  1.04999999999999999996E+0000  1.39365436940535607159E+0000  1.46608312424216544851E+0000  1.31069641147562568860E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137237669830494035E-0040  4.59602007356806514513E-0003  1.26275370439494619493E-0034  0.00000000000000000000E+0000  2.32022245334274849218E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245927725161180E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.48499972002774216799E-0010 -2.17519529625484966647E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -1.29157670035870360984E-0007
 8.76399999999999999990E-0006  0.00000000000000000000E+0000  2.99766639957379423618E-0007  5.47944813051899017560E-0008  2.99766639957379423618E-0007  1.04999999999999999996E+0000  1.39365436935924531965E+0000  1.46608312424744856696E+0000  1.31069641151190799183E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137237037687179727E-0040  4.59602007165908372137E-0003  1.26275370791800234049E-0034  0.00000000000000000000E+0000  2.32022245340356601168E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245824105224216E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -1.70008335313718604838E-0010 -2.17519541264677183966E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -8.98928116931409459902E-0008
 8.93900000000000000025E-0006  0.00000000000000000000E+0000  1.78746107380969045712E-0007  5.18159646241106971865E-0008  1.78746107380969045712E-0007  1.04999999999999999996E+0000  1.39365436932390512057E+0000  1.46608312425096304354E+0000  1.31069641161349101496E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137236391073209881E-0040  4.59602006751442241120E-0003  1.26275371445478245448E-0034  0.00000000000000000000E+0000  2.32022245344314885007E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245700758027245E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -8.53657127504930278601E-0011 -2.17519553783818537238E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -5.46598366826320668974E-0008
 9.11800000000000000002E-0006  0.00000000000000000000E+0000  7.18354776423657874846E-0008  4.71609205434498901888E-0008  7.18354776423657874846E-0008  1.04999999999999999996E+0000  1.39365436930399258541E+0000  1.46608312425443208457E+0000  1.31069641176635255262E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137235834407253473E-0040  4.59602006209507075121E-0003  1.26275372317986195348E-0034  0.00000000000000000000E+0000  2.32022245347257098300E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245575596139711E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -6.70736859294813291802E-0012 -2.17519565487129637113E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -2.65469402071179456891E-0008
 9.30000000000000000019E-0006  0.00000000000000000000E+0000 -1.13200627236602937818E-0008  4.07837609933007618379E-0008 -1.13200627236602937818E-0008  1.04999999999999999996E+0000  1.39365436930250034462E+0000  1.46608312425892818142E+0000  1.31069641194938901209E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.57137235461694785781E-0040  4.59602005646105565592E-0003  1.26275373293846451424E-0034  0.00000000000000000000E+0000  2.32022245351474499589E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.32022245462344341480E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.78475554437441398813E-0011 -2.17519575213594660613E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -7.45440543136664433615E-0009
