t Vext G_frac
1.102e-07 0.0 1.050e+00
1.124e-07 0.0 1.050e+00
1.146e-07 0.0 1.050e+00
1.169e-07 0.0 1.050e+00
1.192e-07 0.0 1.050e+00
1.216e-07 0.0 1.050e+00
1.241e-07 0.0 1.050e+00
1.265e-07 0.0 1.050e+00
1.291e-07 0.0 1.050e+00
1.317e-07 0.0 1.050e+00
1.343e-07 0.0 1.050e+00
1.370e-07 0.0 1.050e+00
1.397e-07 0.0 1.050e+00
1.425e-07 0.0 1.050e+00
1.454e-07 0.0 1.050e+00
1.483e-07 0.0 1.050e+00
1.512e-07 0.0 1.050e+00
1.543e-07 0.0 1.050e+00
1.573e-07 0.0 1.050e+00
1.605e-07 0.0 1.050e+00
1.637e-07 0.0 1.050e+00
1.670e-07 0.0 1.050e+00
1.703e-07 0.0 1.050e+00
1.737e-07 0.0 1.050e+00
1.772e-07 0.0 1.050e+00
1.807e-07 0.0 1.050e+00
1.844e-07 0.0 1.050e+00
1.880e-07 0.0 1.050e+00
1.918e-07 0.0 1.050e+00
1.956e-07 0.0 1.050e+00
1.995e-07 0.0 1.050e+00
2.035e-07 0.0 1.050e+00
2.076e-07 0.0 1.050e+00
2.118e-07 0.0 1.050e+00
2.160e-07 0.0 1.050e+00
2.203e-07 0.0 1.050e+00
2.247e-07 0.0 1.050e+00
2.292e-07 0.0 1.050e+00
2.338e-07 0.0 1.050e+00
2.385e-07 0.0 1.050e+00
2.433e-07 0.0 1.050e+00
2.481e-07 0.0 1.050e+00
2.531e-07 0.0 1.050e+00
2.581e-07 0.0 1.050e+00
2.633e-07 0.0 1.050e+00
2.686e-07 0.0 1.050e+00
2.739e-07 0.0 1.050e+00
2.794e-07 0.0 1.050e+00
2.850e-07 0.0 1.050e+00
2.907e-07 0.0 1.050e+00
2.965e-07 0.0 1.050e+00
3.025e-07 0.0 1.050e+00
3.085e-07 0.0 1.050e+00
3.147e-07 0.0 1.050e+00
3.210e-07 0.0 1.050e+00
3.274e-07 0.0 1.050e+00
3.339e-07 0.0 1.050e+00
3.406e-07 0.0 1.050e+00
3.474e-07 0.0 1.050e+00
3.544e-07 0.0 1.050e+00
3.615e-07 0.0 1.050e+00
3.687e-07 0.0 1.050e+00
3.761e-07 0.0 1.050e+00
3.836e-07 0.0 1.050e+00
3.913e-07 0.0 1.050e+00
3.991e-07 0.0 1.050e+00
4.071e-07 0.0 1.050e+00
4.152e-07 0.0 1.050e+00
4.235e-07 0.0 1.050e+00
4.320e-07 0.0 1.050e+00
4.406e-07 0.0 1.050e+00
4.494e-07 0.0 1.050e+00
4.584e-07 0.0 1.050e+00
4.676e-07 0.0 1.050e+00
4.769e-07 0.0 1.050e+00
4.865e-07 0.0 1.050e+00
4.962e-07 0.0 1.050e+00
5.061e-07 0.0 1.050e+00
5.163e-07 0.0 1.050e+00
5.266e-07 0.0 1.050e+00
5.371e-07 0.0 1.050e+00
5.479e-07 0.0 1.050e+00
5.588e-07 0.0 1.050e+00
5.700e-07 0.0 1.050e+00
5.814e-07 0.0 1.050e+00
5.930e-07 0.0 1.050e+00
6.049e-07 0.0 1.050e+00
6.170e-07 0.0 1.050e+00
6.293e-07 0.0 1.050e+00
6.419e-07 0.0 1.050e+00
6.547e-07 0.0 1.050e+00
6.678e-07 0.0 1.050e+00
6.812e-07 0.0 1.050e+00
6.948e-07 0.0 1.050e+00
7.087e-07 0.0 1.050e+00
7.229e-07 0.0 1.050e+00
7.373e-07 0.0 1.050e+00
7.521e-07 0.0 1.050e+00
7.671e-07 0.0 1.050e+00
7.825e-07 0.0 1.050e+00
7.981e-07 0.0 1.050e+00
8.141e-07 0.0 1.050e+00
8.304e-07 0.0 1.050e+00
8.470e-07 0.0 1.050e+00
8.639e-07 0.0 1.050e+00
8.812e-07 0.0 1.050e+00
8.988e-07 0.0 1.050e+00
9.168e-07 0.0 1.050e+00
9.351e-07 0.0 1.050e+00
9.538e-07 0.0 1.050e+00
9.729e-07 0.0 1.050e+00
9.924e-07 0.0 1.050e+00
1.012e-06 0.0 1.050e+00
1.032e-06 0.0 1.050e+00
1.053e-06 0.0 1.050e+00
1.074e-06 0.0 1.050e+00
1.096e-06 0.0 1.050e+00
1.118e-06 0.0 1.050e+00
1.140e-06 0.0 1.050e+00
1.163e-06 0.0 1.050e+00
1.186e-06 0.0 1.050e+00
1.210e-06 0.0 1.050e+00
1.234e-06 0.0 1.050e+00
1.259e-06 0.0 1.050e+00
1.284e-06 0.0 1.050e+00
1.309e-06 0.0 1.050e+00
1.336e-06 0.0 1.050e+00
1.362e-06 0.0 1.050e+00
1.390e-06 0.0 1.050e+00
1.417e-06 0.0 1.050e+00
1.446e-06 0.0 1.050e+00
1.475e-06 0.0 1.050e+00
1.504e-06 0.0 1.050e+00
1.534e-06 0.0 1.050e+00
1.565e-06 0.0 1.050e+00
1.596e-06 0.0 1.050e+00
1.628e-06 0.0 1.050e+00
1.661e-06 0.0 1.050e+00
1.694e-06 0.0 1.050e+00
1.728e-06 0.0 1.050e+00
1.762e-06 0.0 1.050e+00
1.798e-06 0.0 1.050e+00
1.833e-06 0.0 1.050e+00
1.870e-06 0.0 1.050e+00
1.908e-06 0.0 1.050e+00
1.946e-06 0.0 1.050e+00
1.985e-06 0.0 1.050e+00
2.024e-06 0.0 1.050e+00
2.065e-06 0.0 1.050e+00
2.106e-06 0.0 1.050e+00
2.148e-06 0.0 1.050e+00
2.191e-06 0.0 1.050e+00
2.235e-06 0.0 1.050e+00
2.280e-06 0.0 1.050e+00
2.325e-06 0.0 1.050e+00
2.372e-06 0.0 1.050e+00
2.419e-06 0.0 1.050e+00
2.468e-06 0.0 1.050e+00
2.517e-06 0.0 1.050e+00
2.567e-06 0.0 1.050e+00
2.619e-06 0.0 1.050e+00
2.671e-06 0.0 1.050e+00
2.724e-06 0.0 1.050e+00
2.779e-06 0.0 1.050e+00
2.835e-06 0.0 1.050e+00
2.891e-06 0.0 1.050e+00
2.949e-06 0.0 1.050e+00
3.008e-06 0.0 1.050e+00
3.068e-06 0.0 1.050e+00
3.130e-06 0.0 1.050e+00
3.192e-06 0.0 1.050e+00
3.256e-06 0.0 1.050e+00
3.321e-06 0.0 1.050e+00
3.388e-06 0.0 1.050e+00
3.455e-06 0.0 1.050e+00
3.524e-06 0.0 1.050e+00
3.595e-06 0.0 1.050e+00
3.667e-06 0.0 1.050e+00
3.740e-06 0.0 1.050e+00
3.815e-06 0.0 1.050e+00
3.891e-06 0.0 1.050e+00
3.969e-06 0.0 1.050e+00
4.048e-06 0.0 1.050e+00
4.129e-06 0.0 1.050e+00
4.212e-06 0.0 1.050e+00
4.296e-06 0.0 1.050e+00
4.382e-06 0.0 1.050e+00
4.470e-06 0.0 1.050e+00
4.559e-06 0.0 1.050e+00
4.650e-06 0.0 1.050e+00
4.743e-06 0.0 1.050e+00
4.838e-06 0.0 1.050e+00
4.935e-06 0.0 1.050e+00
5.034e-06 0.0 1.050e+00
5.134e-06 0.0 1.050e+00
5.237e-06 0.0 1.050e+00
5.342e-06 0.0 1.050e+00
5.449e-06 0.0 1.050e+00
5.558e-06 0.0 1.050e+00
5.669e-06 0.0 1.050e+00
5.782e-06 0.0 1.050e+00
5.898e-06 0.0 1.050e+00
6.016e-06 0.0 1.050e+00
6.136e-06 0.0 1.050e+00
6.259e-06 0.0 1.050e+00
6.384e-06 0.0 1.050e+00
6.512e-06 0.0 1.050e+00
6.642e-06 0.0 1.050e+00
6.775e-06 0.0 1.050e+00
6.910e-06 0.0 1.050e+00
7.048e-06 0.0 1.050e+00
7.189e-06 0.0 1.050e+00
7.333e-06 0.0 1.050e+00
7.480e-06 0.0 1.050e+00
7.629e-06 0.0 1.050e+00
7.782e-06 0.0 1.050e+00
7.938e-06 0.0 1.050e+00
8.096e-06 0.0 1.050e+00
8.258e-06 0.0 1.050e+00
8.424e-06 0.0 1.050e+00
8.592e-06 0.0 1.050e+00
8.764e-06 0.0 1.050e+00
8.939e-06 0.0 1.050e+00
9.118e-06 0.0 1.050e+00
9.300e-06 0.0 1.050e+00
9.486e-06 0.0 1.050e+00
9.676e-06 0.0 1.050e+00
9.870e-06 0.0 1.050e+00
1.007e-05 0.0 1.050e+00
1.027e-05 0.0 1.050e+00
1.047e-05 0.0 1.050e+00
1.068e-05 0.0 1.050e+00
1.090e-05 0.0 1.050e+00
1.111e-05 0.0 1.050e+00
1.134e-05 0.0 1.050e+00
1.156e-05 0.0 1.050e+00
1.179e-05 0.0 1.050e+00
1.203e-05 0.0 1.050e+00
1.227e-05 0.0 1.050e+00
1.252e-05 0.0 1.050e+00
1.277e-05 0.0 1.050e+00
1.302e-05 0.0 1.050e+00
1.328e-05 0.0 1.050e+00
1.355e-05 0.0 1.050e+00
1.382e-05 0.0 1.050e+00
1.410e-05 0.0 1.050e+00
1.438e-05 0.0 1.050e+00
1.467e-05 0.0 1.050e+00
1.496e-05 0.0 1.050e+00
1.526e-05 0.0 1.050e+00
1.556e-05 0.0 1.050e+00
1.587e-05 0.0 1.050e+00
1.619e-05 0.0 1.050e+00
1.652e-05 0.0 1.050e+00
1.685e-05 0.0 1.050e+00
1.718e-05 0.0 1.050e+00
1.753e-05 0.0 1.050e+00
1.788e-05 0.0 1.050e+00
1.823e-05 0.0 1.050e+00
1.860e-05 0.0 1.050e+00
1.897e-05 0.0 1.050e+00
1.935e-05 0.0 1.050e+00
1.974e-05 0.0 1.050e+00
2.013e-05 0.0 1.050e+00
2.054e-05 0.0 1.050e+00
2.095e-05 0.0 1.050e+00
2.136e-05 0.0 1.050e+00
2.179e-05 0.0 1.050e+00
2.223e-05 0.0 1.050e+00
2.267e-05 0.0 1.050e+00
2.313e-05 0.0 1.050e+00
