freq ReZ ImZ ReErrZ ImErrZ C G errC errG
1.128668e+03 7.304696e-02 -1.194682e-02 6.821575e-05 1.676559e-04 3.074949e-04 1.333318e+01 4.574110e-08 2.980481e-02
1.002205e+03 7.344799e-02 -1.060113e-02 5.586846e-05 1.523634e-04 3.057041e-04 1.333723e+01 3.287801e-08 2.710264e-02
8.896797e+02 7.375851e-02 -9.379459e-03 4.575819e-05 1.379116e-04 3.035102e-04 1.334201e+01 2.356291e-08 2.454952e-02
7.905138e+02 7.399259e-02 -8.284662e-03 3.758228e-05 1.245548e-04 3.008835e-04 1.334754e+01 1.689932e-08 2.219028e-02
7.017544e+02 7.416737e-02 -7.290609e-03 3.087947e-05 1.121348e-04 2.977123e-04 1.335398e+01 1.206780e-08 1.999687e-02
6.230530e+02 7.429154e-02 -6.399115e-03 2.544520e-05 1.007747e-04 2.939857e-04 1.336135e+01 8.609205e-09 1.799087e-02
5.534034e+02 7.437388e-02 -5.603692e-03 2.105056e-05 9.046177e-05 2.897032e-04 1.336968e+01 6.143160e-09 1.616990e-02
4.914005e+02 7.442191e-02 -4.891844e-03 1.747546e-05 8.108447e-05 2.848284e-04 1.337910e+01 4.377343e-09 1.451414e-02
4.363002e+02 7.444103e-02 -4.259227e-03 1.457371e-05 7.260058e-05 2.794611e-04 1.338962e+01 3.120168e-09 1.301597e-02
3.874467e+02 7.443580e-02 -3.702066e-03 1.222425e-05 6.496257e-05 2.737888e-04 1.340125e+01 2.230723e-09 1.166685e-02
3.439972e+02 7.440999e-02 -3.214188e-03 1.031619e-05 5.807887e-05 2.680800e-04 1.341403e+01 1.602445e-09 1.045049e-02
3.054368e+02 7.436691e-02 -2.794159e-03 8.771693e-06 5.189847e-05 2.628923e-04 1.342789e+01 1.163430e-09 9.357715e-03
2.712232e+02 7.430953e-02 -2.439999e-03 7.523194e-06 4.635833e-05 2.590156e-04 1.344273e+01 8.601233e-10 8.377276e-03
2.408478e+02 7.424064e-02 -2.150736e-03 6.515493e-06 4.139472e-05 2.576421e-04 1.345842e+01 6.544906e-10 7.497785e-03
2.138580e+02 7.416299e-02 -1.926402e-03 5.703900e-06 3.694844e-05 2.604798e-04 1.347472e+01 5.200264e-10 6.708660e-03
1.898975e+02 7.407975e-02 -1.768966e-03 5.054024e-06 3.297268e-05 2.700063e-04 1.349127e+01 4.396266e-10 6.001504e-03
1.686341e+02 7.399427e-02 -1.680354e-03 4.536587e-06 2.942200e-05 2.895047e-04 1.350759e+01 4.028707e-10 5.368195e-03
1.497454e+02 7.391032e-02 -1.663493e-03 4.127254e-06 2.625054e-05 3.234875e-04 1.352306e+01 4.063587e-10 4.800519e-03
1.329610e+02 7.383227e-02 -1.722080e-03 3.806350e-06 2.341936e-05 3.779378e-04 1.353685e+01 4.542069e-10 4.291510e-03
1.180638e+02 7.376530e-02 -1.860110e-03 3.557938e-06 2.089721e-05 4.605342e-04 1.354789e+01 5.597817e-10 3.835588e-03
1.048438e+02 7.371511e-02 -2.081130e-03 3.368037e-06 1.865298e-05 5.809219e-04 1.355494e+01 7.487465e-10 3.427229e-03
9.310987e+01 7.368814e-02 -2.388869e-03 3.225012e-06 1.665777e-05 7.512169e-04 1.355646e+01 1.064725e-09 3.061323e-03
8.264463e+01 7.369163e-02 -2.788185e-03 3.118275e-06 1.487744e-05 9.873462e-04 1.355066e+01 1.578512e-09 2.731803e-03
7.342144e+01 7.373367e-02 -3.277466e-03 3.041030e-06 1.330979e-05 1.304207e-03 1.353558e+01 2.386254e-09 2.438512e-03
6.518905e+01 7.382336e-02 -3.861199e-03 2.984046e-06 1.191375e-05 1.725018e-03 1.350889e+01 3.637034e-09 2.174143e-03
5.787037e+01 7.397116e-02 -4.538890e-03 2.941985e-06 1.067767e-05 2.272776e-03 1.346807e+01 5.525733e-09 1.936812e-03
5.138746e+01 7.418778e-02 -5.304741e-03 2.909490e-06 9.589343e-06 2.969939e-03 1.341074e+01 8.286081e-09 1.724624e-03
4.564126e+01 7.448546e-02 -6.152233e-03 2.881695e-06 8.632774e-06 3.840604e-03 1.333447e+01 1.218946e-08 1.534977e-03
4.051864e+01 7.488015e-02 -7.077620e-03 2.854483e-06 7.789566e-06 4.914241e-03 1.323642e+01 1.754992e-08 1.364754e-03
3.598417e+01 7.538438e-02 -8.061953e-03 2.824596e-06 7.054079e-06 6.203649e-03 1.311534e+01 2.457775e-08 1.213388e-03
3.194888e+01 7.601643e-02 -9.093057e-03 2.788860e-06 6.411689e-06 7.728393e-03 1.296947e+01 3.343803e-08 1.078492e-03
2.837684e+01 7.678825e-02 -1.014413e-02 2.744846e-06 5.856103e-06 9.483479e-03 1.279945e+01 4.401466e-08 9.593819e-04
2.519526e+01 7.771843e-02 -1.119551e-02 2.689811e-06 5.374903e-06 1.147036e-02 1.260539e+01 5.602412e-08 8.540493e-04
2.237136e+01 7.881496e-02 -1.221353e-02 2.621605e-06 4.961405e-06 1.365984e-02 1.239040e+01 6.875922e-08 7.616853e-04
1.986492e+01 8.008230e-02 -1.316427e-02 2.537987e-06 4.607013e-06 1.601317e-02 1.215860e+01 8.122891e-08 6.810621e-04
1.763980e+01 8.151710e-02 -1.401171e-02 2.437050e-06 4.302841e-06 1.847885e-02 1.191533e+01 9.223335e-08 6.108959e-04
1.566416e+01 8.310582e-02 -1.471954e-02 2.317636e-06 4.039709e-06 2.099566e-02 1.166685e+01 1.005522e-07 5.498668e-04
1.391014e+01 8.482336e-02 -1.525413e-02 2.179801e-06 3.808313e-06 2.349753e-02 1.141988e+01 1.051896e-07 4.966562e-04
1.235178e+01 8.663498e-02 -1.558843e-02 2.024969e-06 3.599394e-06 2.592202e-02 1.118070e+01 1.056003e-07 4.499532e-04
1.096732e+01 8.849581e-02 -1.570474e-02 1.856114e-06 3.404654e-06 2.821232e-02 1.095496e+01 1.018034e-07 4.085967e-04
9.737098e+00 9.035627e-02 -1.559803e-02 1.677510e-06 3.217059e-06 3.032429e-02 1.074703e+01 9.437476e-08 3.715663e-04
8.650519e+00 9.215494e-02 -1.527975e-02 1.495601e-06 3.032588e-06 3.221654e-02 1.056096e+01 8.437147e-08 3.382360e-04
7.680492e+00 9.386633e-02 -1.476877e-02 1.314110e-06 2.846138e-06 3.389500e-02 1.039609e+01 7.285709e-08 3.076068e-04
6.816633e+00 9.545024e-02 -1.409605e-02 1.138811e-06 2.656961e-06 3.535280e-02 1.025305e+01 6.096054e-08 2.793133e-04
6.053269e+00 9.687078e-02 -1.330518e-02 9.756020e-07 2.467170e-06 3.658883e-02 1.013189e+01 4.967520e-08 2.532679e-04
5.376344e+00 9.812223e-02 -1.243395e-02 8.270995e-07 2.278008e-06 3.762608e-02 1.003031e+01 3.955512e-08 2.291837e-04
4.773270e+00 9.920912e-02 -1.151494e-02 6.944997e-07 2.091001e-06 3.849028e-02 9.945733e+00 3.085816e-08 2.068368e-04
4.239084e+00 1.001324e-01 -1.058530e-02 5.792641e-07 1.909745e-06 3.919909e-02 9.876410e+00 2.370721e-08 1.862832e-04
3.765060e+00 1.009072e-01 -9.669311e-03 4.806921e-07 1.736208e-06 3.977684e-02 9.819932e+00 1.799199e-08 1.674244e-04
3.342246e+00 1.015530e-01 -8.781567e-03 3.971949e-07 1.571283e-06 4.024696e-02 9.773992e+00 1.351102e-08 1.501061e-04
2.968240e+00 1.020816e-01 -7.942926e-03 3.279419e-07 1.417561e-06 4.062426e-02 9.737135e+00 1.009361e-08 1.344015e-04
2.635741e+00 1.025130e-01 -7.157565e-03 2.708201e-07 1.274945e-06 4.092729e-02 9.707539e+00 7.512586e-09 1.201461e-04
2.340276e+00 1.028625e-01 -6.430325e-03 2.241350e-07 1.143758e-06 4.116970e-02 9.683869e+00 5.586142e-09 1.072586e-04
2.078138e+00 1.031438e-01 -5.763733e-03 1.863030e-07 1.024083e-06 4.136274e-02 9.665022e+00 4.161911e-09 9.566228e-05
1.845359e+00 1.033694e-01 -5.156347e-03 1.557929e-07 9.154124e-07 4.151628e-02 9.650034e+00 3.113475e-09 8.524610e-05
1.638538e+00 1.035497e-01 -4.605588e-03 1.312881e-07 8.171233e-07 4.163824e-02 9.638130e+00 2.343402e-09 7.590548e-05
1.455180e+00 1.036932e-01 -4.109389e-03 1.117199e-07 7.287379e-07 4.173478e-02 9.628708e+00 1.779195e-09 6.756276e-05
1.291990e+00 1.038076e-01 -3.662117e-03 9.607933e-08 6.491803e-07 4.181139e-02 9.621230e+00 1.363510e-09 6.009337e-05
1.147315e+00 1.038983e-01 -3.261593e-03 8.365687e-08 5.780142e-07 4.187191e-02 9.615324e+00 1.057328e-09 5.343999e-05
