freq ReZ ImZ ReErrZ ImErrZ C G errC errG
7.017544e+02 2.514303e-01 -8.256887e-02 1.249475e-03 1.303237e-03 2.673852e-04 3.590076e+00 3.938828e-07 1.679696e-02
6.230530e+02 2.567326e-01 -7.483631e-02 1.060290e-03 1.271343e-03 2.673178e-04 3.590058e+00 2.966098e-07 1.638572e-02
5.534034e+02 2.610405e-01 -6.757415e-02 8.933487e-04 1.219501e-03 2.672847e-04 3.590238e+00 2.219173e-07 1.571913e-02
4.914005e+02 2.645285e-01 -6.080726e-02 7.477788e-04 1.153988e-03 2.673206e-04 3.590583e+00 1.649884e-07 1.487755e-02
4.363002e+02 2.673245e-01 -5.458468e-02 6.228503e-04 1.080217e-03 2.674782e-04 3.591051e+00 1.221591e-07 1.393010e-02
3.874467e+02 2.695455e-01 -4.893147e-02 5.170702e-04 1.002568e-03 2.678250e-04 3.591590e+00 9.029081e-08 1.293264e-02
3.439972e+02 2.713064e-01 -4.382302e-02 4.280072e-04 9.239516e-04 2.684489e-04 3.592148e+00 6.666672e-08 1.192223e-02
3.054368e+02 2.726955e-01 -3.925204e-02 3.536929e-04 8.467970e-04 2.694629e-04 3.592658e+00 4.928621e-08 1.092977e-02
2.712232e+02 2.737918e-01 -3.519164e-02 2.920181e-04 7.726758e-04 2.710039e-04 3.593050e+00 3.654835e-08 9.975250e-03
2.408478e+02 2.746626e-01 -3.160675e-02 2.409952e-04 7.025384e-04 2.732404e-04 3.593248e+00 2.722833e-08 9.070777e-03
2.138580e+02 2.753643e-01 -2.845977e-02 1.988617e-04 6.369085e-04 2.763735e-04 3.593172e+00 2.041030e-08 8.223050e-03
1.898975e+02 2.759417e-01 -2.571787e-02 1.641573e-04 5.761151e-04 2.806372e-04 3.592747e+00 1.542587e-08 7.436394e-03
1.686341e+02 2.764358e-01 -2.334545e-02 1.355934e-04 5.202452e-04 2.862872e-04 3.591859e+00 1.177517e-08 6.711916e-03
1.497454e+02 2.768785e-01 -2.130300e-02 1.120455e-04 4.691393e-04 2.936064e-04 3.590438e+00 9.087808e-09 6.047790e-03
1.329610e+02 2.772962e-01 -1.955454e-02 9.260043e-05 4.225894e-04 3.029013e-04 3.588408e+00 7.097732e-09 5.441544e-03
1.180638e+02 2.777102e-01 -1.806718e-02 7.652151e-05 3.803934e-04 3.144675e-04 3.585699e+00 5.613471e-09 4.890808e-03
1.048438e+02 2.781382e-01 -1.680644e-02 6.317940e-05 3.422617e-04 3.285860e-04 3.582255e+00 4.493617e-09 4.392092e-03
9.310987e+01 2.785939e-01 -1.573810e-02 5.205293e-05 3.078735e-04 3.455012e-04 3.578035e+00 3.635129e-09 3.941500e-03
8.264463e+01 2.790901e-01 -1.482461e-02 4.267593e-05 2.767626e-04 3.654905e-04 3.572991e+00 2.960259e-09 3.533225e-03
7.342144e+01 2.796272e-01 -1.404408e-02 3.481345e-05 2.489840e-04 3.883627e-04 3.567191e+00 2.422283e-09 3.168285e-03
6.518905e+01 2.802149e-01 -1.335502e-02 2.808622e-05 2.238824e-04 4.143071e-04 3.560602e+00 1.974661e-09 2.838355e-03
5.787037e+01 2.808509e-01 -1.273080e-02 2.230872e-05 2.012975e-04 4.429724e-04 3.553307e+00 1.591711e-09 2.541581e-03
5.138746e+01 2.815286e-01 -1.214555e-02 1.732568e-05 1.810499e-04 4.737264e-04 3.545438e+00 1.255401e-09 2.275820e-03
4.564126e+01 2.822402e-01 -1.157361e-02 1.299333e-05 1.628800e-04 5.057827e-04 3.537134e+00 9.532038e-10 2.037843e-03
4.051864e+01 2.829783e-01 -1.098959e-02 9.181031e-06 1.464696e-04 5.382527e-04 3.528518e+00 6.771713e-10 1.823612e-03
3.598417e+01 2.837230e-01 -1.037970e-02 5.833912e-06 1.317402e-04 5.695391e-04 3.519853e+00 4.278566e-10 1.632177e-03
3.194888e+01 2.844610e-01 -9.728120e-03 2.871032e-06 1.184354e-04 5.981917e-04 3.511314e+00 2.062312e-10 1.460228e-03
2.837684e+01 2.851693e-01 -9.031167e-03 2.601184e-07 1.064687e-04 6.222414e-04 3.503175e+00 1.795696e-11 1.306608e-03
2.519526e+01 2.858336e-01 -8.283405e-03 2.051272e-06 9.562846e-05 6.399103e-04 3.495604e+00 1.329720e-10 1.168508e-03
2.237136e+01 2.864337e-01 -7.491024e-03 4.082970e-06 8.583572e-05 6.491180e-04 3.488823e+00 2.418220e-10 1.044783e-03
1.986492e+01 2.869552e-01 -6.662587e-03 5.859073e-06 7.698572e-05 6.479090e-04 3.482987e+00 3.069896e-10 9.339291e-04
1.763980e+01 2.873874e-01 -5.809608e-03 7.401140e-06 6.898609e-05 6.343963e-04 3.478203e+00 3.301364e-10 8.345865e-04
1.566416e+01 2.877240e-01 -4.945312e-03 8.729418e-06 6.175709e-05 6.067730e-04 3.474527e+00 3.163186e-10 7.455523e-04
1.391014e+01 2.879627e-01 -4.083273e-03 9.863499e-06 5.522969e-05 5.632970e-04 3.471974e+00 2.735377e-10 6.657722e-04
1.235178e+01 2.881056e-01 -3.235419e-03 1.082379e-05 4.933798e-05 5.021843e-04 3.470512e+00 2.118433e-10 5.942490e-04
1.096732e+01 2.881566e-01 -2.412671e-03 1.162941e-05 4.402668e-05 4.216286e-04 3.470091e+00 1.424618e-10 5.301488e-04
9.737098e+00 2.881218e-01 -1.623763e-03 1.229910e-05 3.924392e-05 3.197034e-04 3.470645e+00 7.690903e-11 4.727077e-04
8.650519e+00 2.880088e-01 -8.806278e-04 1.284716e-05 3.496893e-05 1.953237e-04 3.472084e+00 2.664028e-11 4.215633e-04
7.680492e+00 2.878241e-01 -1.811628e-04 1.329573e-05 3.111191e-05 4.531540e-05 3.474343e+00 1.317567e-12 3.755538e-04
6.816633e+00 2.875747e-01 4.683522e-04 1.365759e-05 2.764491e-05 -1.322271e-04 3.477348e+00 1.022739e-11 3.342809e-04
6.053269e+00 2.872700e-01 1.059560e-03 1.394332e-05 2.455652e-05 -3.375742e-04 3.480998e+00 6.043308e-11 2.975599e-04
5.376344e+00 2.869167e-01 1.591842e-03 1.416604e-05 2.179928e-05 -5.724111e-04 3.485225e+00 1.567947e-10 2.647914e-04
4.773270e+00 2.865198e-01 2.064935e-03 1.433676e-05 1.932927e-05 -8.386462e-04 3.489979e+00 3.024157e-10 2.354296e-04
4.239084e+00 2.860884e-01 2.473741e-03 1.446321e-05 1.713194e-05 -1.134670e-03 3.495162e+00 4.959702e-10 2.092865e-04
3.765060e+00 2.856285e-01 2.816824e-03 1.455318e-05 1.517660e-05 -1.459360e-03 3.500710e+00 7.332206e-10 1.859889e-04
3.342246e+00 2.851448e-01 3.093863e-03 1.461399e-05 1.342993e-05 -1.811760e-03 3.506577e+00 1.007369e-09 1.651355e-04
2.968240e+00 2.846483e-01 3.300851e-03 1.465066e-05 1.188488e-05 -2.184094e-03 3.512634e+00 1.303402e-09 1.466428e-04
2.635741e+00 2.841442e-01 3.437957e-03 1.466847e-05 1.051354e-05 -2.570850e-03 3.518825e+00 1.605538e-09 1.301800e-04
2.340276e+00 2.836404e-01 3.504575e-03 1.467174e-05 9.299084e-06 -2.962005e-03 3.525053e+00 1.892781e-09 1.155504e-04
2.078138e+00 2.831460e-01 3.501156e-03 1.466437e-05 8.227277e-06 -3.344029e-03 3.531207e+00 2.141202e-09 1.025894e-04
1.845359e+00 2.826689e-01 3.429551e-03 1.464965e-05 7.282384e-06 -3.701321e-03 3.537188e+00 2.327026e-09 9.111499e-05
1.638538e+00 2.822173e-01 3.292982e-03 1.463077e-05 6.450624e-06 -4.015379e-03 3.542887e+00 2.428604e-09 8.096854e-05
1.455180e+00 2.818005e-01 3.096604e-03 1.461014e-05 5.721375e-06 -4.264352e-03 3.548182e+00 2.429167e-09 7.202979e-05
1.291990e+00 2.814247e-01 2.846229e-03 1.459018e-05 5.080666e-06 -4.426517e-03 3.552985e+00 2.320726e-09 6.413681e-05
1.147315e+00 2.810986e-01 2.550956e-03 1.457252e-05 4.520757e-06 -4.478031e-03 3.557178e+00 2.106549e-09 5.720346e-05
1.018745e+00 2.808273e-01 2.220027e-03 1.455881e-05 4.030690e-06 -4.397513e-03 3.560685e+00 1.802127e-09 5.110301e-05
9.049774e-01 2.806162e-01 1.866144e-03 1.455029e-05 3.603622e-06 -4.167569e-03 3.563429e+00 1.436994e-09 4.575888e-05
8.032129e-01 2.804658e-01 1.497685e-03 1.454722e-05 3.227027e-06 -3.772574e-03 3.565395e+00 1.044879e-09 4.102210e-05
7.132668e-01 2.803786e-01 1.131259e-03 1.455073e-05 2.898091e-06 -3.210950e-03 3.566548e+00 6.723317e-10 3.686448e-05
6.333122e-01 2.803515e-01 7.772569e-04 1.455982e-05 2.608027e-06 -2.485179e-03 3.566923e+00 3.578237e-10 3.318177e-05
5.624297e-01 2.803799e-01 4.478908e-04 1.457492e-05 2.351682e-06 -1.612239e-03 3.566581e+00 1.338792e-10 2.991457e-05
4.995005e-01 2.804565e-01 1.520692e-04 1.459468e-05 2.123344e-06 -6.160193e-04 3.565615e+00 1.738197e-11 2.699536e-05
4.434590e-01 2.805727e-01 -1.039812e-04 1.461796e-05 1.918158e-06 4.740569e-04 3.564138e+00 9.153366e-12 2.436651e-05
3.938558e-01 2.807177e-01 -3.145417e-04 1.464363e-05 1.733619e-06 1.612950e-03 3.562293e+00 9.427737e-11 2.199951e-05
3.496503e-01 2.808818e-01 -4.798029e-04 1.467031e-05 1.565586e-06 2.768219e-03 3.560206e+00 2.469756e-10 1.984391e-05
3.104626e-01 2.810541e-01 -6.003169e-04 1.469696e-05 1.412779e-06 3.895917e-03 3.558018e+00 4.351472e-10 1.788507e-05
2.757100e-01 2.812256e-01 -6.800977e-04 1.472224e-05 1.273536e-06 4.963941e-03 3.555843e+00 6.284338e-10 1.610261e-05
2.448580e-01 2.813897e-01 -7.246820e-04 1.474543e-05 1.146637e-06 5.948864e-03 3.553767e+00 8.028227e-10 1.448118e-05
2.173913e-01 2.815417e-01 -7.402906e-04 1.476631e-05 1.030888e-06 6.837412e-03 3.551847e+00 9.429256e-10 1.300529e-05
1.930502e-01 2.816779e-01 -7.331612e-04 1.478496e-05 9.259505e-07 7.618000e-03 3.550130e+00 1.040764e-09 1.167015e-05
1.714090e-01 2.817974e-01 -7.092497e-04 1.480140e-05 8.305986e-07 8.292949e-03 3.548626e+00 1.096312e-09 1.045952e-05
1.522302e-01 2.818999e-01 -6.738553e-04 1.481563e-05 7.443767e-07 8.865305e-03 3.547338e+00 1.113751e-09 9.366944e-06
1.351717e-01 2.819867e-01 -6.311550e-04 1.482809e-05 6.662275e-07 9.345683e-03 3.546249e+00 1.099950e-09 8.378398e-06
1.200192e-01 2.820591e-01 -5.845584e-04 1.483872e-05 5.955039e-07 9.743505e-03 3.545341e+00 1.062325e-09 7.485153e-06
1.065757e-01 2.821187e-01 -5.366683e-04 1.484757e-05 5.317350e-07 1.006937e-02 3.544594e+00 1.008088e-09 6.680796e-06
9.842520e-02 2.821525e-01 -5.047846e-04 1.485262e-05 4.926273e-07 1.025300e-02 3.544172e+00 9.655857e-10 6.187967e-06
