freq ReP ImP
4.380201e-02 1.098271e+01 -9.609600e-06
3.889537e-02 1.098271e+01 -8.533609e-06
3.454231e-02 1.098271e+01 -7.578894e-06
3.067485e-02 1.098271e+01 -6.730904e-06
2.724053e-02 1.098271e+01 -5.976906e-06
2.418380e-02 1.098271e+01 -5.305386e-06
2.147766e-02 1.098271e+01 -4.711866e-06
1.906941e-02 1.098271e+01 -4.183368e-06
1.693480e-02 1.098271e+01 -3.714194e-06
1.503759e-02 1.098271e+01 -3.298441e-06
1.335292e-02 1.098271e+01 -2.930400e-06
1.185677e-02 1.098271e+01 -2.602460e-06
1.052853e-02 1.098271e+01 -2.312826e-06
9.920635e-03 1.098271e+01 -2.177995e-06
