freq ReZ ImZ ReErrZ ImErrZ C G errC errG
2.519526e+01 7.859555e-02 -7.239639e-03 1.687022e-06 5.463456e-06 7.340960e-03 1.261632e+01 1.439213e-08 8.696267e-04
2.237136e+01 7.934344e-02 -7.711921e-03 1.596684e-06 4.985712e-06 8.633454e-03 1.248548e+01 1.672864e-08 7.772092e-04
1.986492e+01 8.017766e-02 -8.122432e-03 1.500685e-06 4.562269e-06 1.002025e-02 1.234560e+01 1.880671e-08 6.953532e-04
1.763980e+01 8.108993e-02 -8.450299e-03 1.398827e-06 4.185064e-06 1.147028e-02 1.219951e+01 2.039790e-08 6.228546e-04
1.566416e+01 8.206584e-02 -8.676652e-03 1.291554e-06 3.846605e-06 1.294531e-02 1.205063e+01 2.130221e-08 5.585952e-04
1.391014e+01 8.308485e-02 -8.786641e-03 1.179991e-06 3.540144e-06 1.440249e-02 1.190277e+01 2.139269e-08 5.015529e-04
1.235178e+01 8.412245e-02 -8.771334e-03 1.065774e-06 3.259534e-06 1.579925e-02 1.175958e+01 2.064653e-08 4.507539e-04
1.096732e+01 8.515068e-02 -8.628871e-03 9.510739e-07 2.999850e-06 1.709466e-02 1.162451e+01 1.915206e-08 4.053677e-04
9.737098e+00 8.614174e-02 -8.365152e-03 8.382996e-07 2.757182e-06 1.825412e-02 1.150032e+01 1.708954e-08 3.646579e-04
8.650519e+00 8.706464e-02 -7.995977e-03 7.305778e-07 2.530217e-06 1.924501e-02 1.138965e+01 1.470703e-08 3.282304e-04
7.680492e+00 8.790925e-02 -7.536325e-03 6.289470e-07 2.314826e-06 2.006049e-02 1.129238e+01 1.221423e-08 2.951814e-04
6.816633e+00 8.865920e-02 -7.008455e-03 5.354243e-07 2.110743e-06 2.068805e-02 1.120910e+01 9.814924e-09 2.652021e-04
6.053269e+00 8.930194e-02 -6.440154e-03 4.518820e-07 1.919303e-06 2.112281e-02 1.114003e+01 7.668289e-09 2.381859e-04
5.376344e+00 8.983968e-02 -5.852350e-03 3.784767e-07 1.739908e-06 2.137411e-02 1.108390e+01 5.840931e-09 2.137528e-04
4.773270e+00 9.027872e-02 -5.262179e-03 3.148612e-07 1.571948e-06 2.145488e-02 1.103930e+01 4.346773e-09 1.915673e-04
4.239084e+00 9.062381e-02 -4.689727e-03 2.609422e-07 1.416559e-06 2.138206e-02 1.100516e+01 3.177571e-09 1.715644e-04
3.765060e+00 9.088536e-02 -4.147542e-03 2.158083e-07 1.273432e-06 2.118106e-02 1.098001e+01 2.290421e-09 1.535256e-04
3.342246e+00 9.107471e-02 -3.643545e-03 1.783159e-07 1.141684e-06 2.088410e-02 1.096245e+01 1.633202e-09 1.372022e-04
2.968240e+00 9.120076e-02 -3.190209e-03 1.478152e-07 1.022050e-06 2.054056e-02 1.095142e+01 1.163114e-09 1.225782e-04
2.635741e+00 9.127465e-02 -2.791219e-03 1.231200e-07 9.133917e-07 2.021181e-02 1.094571e+01 8.329548e-10 1.094321e-04
2.340276e+00 9.130600e-02 -2.451519e-03 1.033510e-07 8.151509e-07 1.998374e-02 1.094429e+01 6.068972e-10 9.763679e-05
2.078138e+00 9.130407e-02 -2.175471e-03 8.770318e-08 7.267824e-07 1.997433e-02 1.094620e+01 4.568925e-10 8.708256e-05
1.845359e+00 9.127773e-02 -1.965802e-03 7.542278e-08 6.474709e-07 2.033986e-02 1.095050e+01 3.617923e-10 7.764040e-05
1.638538e+00 9.123542e-02 -1.824488e-03 6.588231e-08 5.764327e-07 2.128158e-02 1.095627e+01 3.071943e-10 6.919495e-05
1.455180e+00 9.118556e-02 -1.753772e-03 5.855460e-08 5.130908e-07 2.306023e-02 1.096259e+01 2.846984e-10 6.166246e-05
1.291990e+00 9.113615e-02 -1.754254e-03 5.295943e-08 4.564971e-07 2.600826e-02 1.096853e+01 2.908070e-10 5.492056e-05
1.147315e+00 9.109567e-02 -1.826636e-03 4.875289e-08 4.062173e-07 3.052245e-02 1.097306e+01 3.274174e-10 4.891182e-05
1.018745e+00 9.107239e-02 -1.970306e-03 4.559449e-08 3.615005e-07 3.709469e-02 1.097514e+01 4.015883e-10 4.354406e-05
9.049774e-01 9.107494e-02 -2.182965e-03 4.324916e-08 3.219500e-07 4.625747e-02 1.097366e+01 5.262100e-10 3.876963e-05
8.032129e-01 9.111207e-02 -2.462813e-03 4.146688e-08 2.866242e-07 5.874243e-02 1.096748e+01 7.221305e-10 3.447677e-05
7.132668e-01 9.119273e-02 -2.803349e-03 4.011437e-08 2.554740e-07 7.514751e-02 1.095543e+01 1.015222e-09 3.066237e-05
6.333122e-01 9.132607e-02 -3.198480e-03 3.903650e-08 2.278683e-07 9.625517e-02 1.093636e+01 1.439185e-09 2.725396e-05
5.624297e-01 9.152050e-02 -3.637384e-03 3.812994e-08 2.034828e-07 1.226927e-01 1.090928e+01 2.028391e-09 2.421698e-05
4.995005e-01 9.178443e-02 -4.108852e-03 3.730486e-08 1.819191e-07 1.550948e-01 1.087330e+01 2.816278e-09 2.150806e-05
4.434590e-01 9.212619e-02 -4.599883e-03 3.649190e-08 1.627930e-07 1.940287e-01 1.082768e+01 3.827908e-09 1.908564e-05
3.938558e-01 9.254914e-02 -5.090878e-03 3.565989e-08 1.459295e-07 2.394521e-01 1.077247e+01 5.059813e-09 1.693457e-05
3.496503e-01 9.305896e-02 -5.566423e-03 3.476159e-08 1.309489e-07 2.915378e-01 1.070756e+01 6.490875e-09 1.501355e-05
3.104626e-01 9.365246e-02 -6.004490e-03 3.379089e-08 1.176946e-07 3.495159e-01 1.063406e+01 8.052352e-09 1.330929e-05
2.757100e-01 9.432416e-02 -6.385881e-03 3.274180e-08 1.059404e-07 4.124360e-01 1.055337e+01 9.648239e-09 1.179896e-05
2.448580e-01 9.506426e-02 -6.693066e-03 3.161591e-08 9.547625e-08 4.790148e-01 1.046731e+01 1.116086e-08 1.046082e-05
2.173913e-01 9.585998e-02 -6.911821e-03 3.043032e-08 8.610122e-08 5.478274e-01 1.037793e+01 1.247430e-08 9.273221e-06
1.930502e-01 9.668829e-02 -7.030761e-03 2.920790e-08 7.770698e-08 6.167571e-01 1.028811e+01 1.347655e-08 8.224920e-06
1.714090e-01 9.752944e-02 -7.045849e-03 2.797276e-08 7.013339e-08 6.842073e-01 1.020008e+01 1.410341e-08 7.296792e-06
1.522302e-01 9.835754e-02 -6.958983e-03 2.675575e-08 6.329296e-08 7.483096e-01 1.011635e+01 1.433047e-08 6.477433e-06
1.351717e-01 9.915380e-02 -6.777857e-03 2.558714e-08 5.707102e-08 8.079483e-01 1.003844e+01 1.418582e-08 5.751058e-06
1.200192e-01 9.989878e-02 -6.515432e-03 2.449297e-08 5.140575e-08 8.620824e-01 9.967733e+00 1.372681e-08 5.107454e-06
1.065757e-01 1.005781e-01 -6.188474e-03 2.349106e-08 4.624987e-08 9.101178e-01 9.905025e+00 1.302975e-08 4.537553e-06
9.842520e-02 1.009924e-01 -5.942198e-03 2.287630e-08 4.305519e-08 9.388205e-01 9.867573e+00 1.246916e-08 4.192241e-06
