tau U offset_const cost_const
2.363318e-06 2.776674e-03 2.159377e-07 6.498926e-03
2.408246e-06 1.698606e-03 2.159377e-07 6.498926e-03
2.454027e-06 3.210987e-06 2.159377e-07 6.498926e-03
2.500678e-06 5.640641e-08 2.159377e-07 6.498926e-03
2.548217e-06 3.423077e-06 2.159377e-07 6.498926e-03
2.596659e-06 4.665002e-04 2.159377e-07 6.498926e-03
2.646022e-06 1.061850e-03 2.159377e-07 6.498926e-03
2.696323e-06 1.680528e-04 2.159377e-07 6.498926e-03
2.747581e-06 1.675620e-05 2.159377e-07 6.498926e-03
2.799813e-06 5.674112e-06 2.159377e-07 6.498926e-03
2.853038e-06 6.410747e-06 2.159377e-07 6.498926e-03
2.907274e-06 2.286313e-07 2.159377e-07 6.498926e-03
2.962542e-06 3.122601e-05 2.159377e-07 6.498926e-03
3.018861e-06 1.471623e-06 2.159377e-07 6.498926e-03
3.076250e-06 5.125511e-05 2.159377e-07 6.498926e-03
3.134730e-06 4.043763e-04 2.159377e-07 6.498926e-03
3.194322e-06 8.861895e-08 2.159377e-07 6.498926e-03
3.255046e-06 3.150518e-06 2.159377e-07 6.498926e-03
3.316925e-06 2.080642e-08 2.159377e-07 6.498926e-03
3.379981e-06 3.884042e-08 2.159377e-07 6.498926e-03
3.444235e-06 5.545978e-07 2.159377e-07 6.498926e-03
3.509710e-06 7.060948e-08 2.159377e-07 6.498926e-03
3.576431e-06 5.062567e-06 2.159377e-07 6.498926e-03
3.644419e-06 6.754554e-06 2.159377e-07 6.498926e-03
3.713700e-06 3.165472e-06 2.159377e-07 6.498926e-03
3.784299e-06 2.868280e-06 2.159377e-07 6.498926e-03
3.856239e-06 1.070736e-06 2.159377e-07 6.498926e-03
3.929547e-06 9.894718e-07 2.159377e-07 6.498926e-03
4.004248e-06 1.084341e-06 2.159377e-07 6.498926e-03
4.080370e-06 1.762302e-09 2.159377e-07 6.498926e-03
4.157938e-06 1.009274e-06 2.159377e-07 6.498926e-03
4.236981e-06 9.361687e-07 2.159377e-07 6.498926e-03
4.317527e-06 8.612180e-07 2.159377e-07 6.498926e-03
4.399604e-06 7.875589e-07 2.159377e-07 6.498926e-03
4.483242e-06 7.092431e-07 2.159377e-07 6.498926e-03
4.568469e-06 5.281874e-07 2.159377e-07 6.498926e-03
4.655316e-06 5.551600e-06 2.159377e-07 6.498926e-03
